name,link
Medical Equipment/Supplies/Accessories,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/medical-equipmentsuppliesaccessories.html
Metals & Mining,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/metals-mining.html
Metals - Castings/Forgings,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/metals-castingsforgings.html
Metals - Non Ferrous,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/metals-non-ferrous.html
Misc. Commercial Services,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/misc.-commercial-services.html
Miscellaneous,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/miscellaneous.html
Multiline Insurance & Brokers,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/multiline-insurance-brokers.html
Oil Exploration and Production,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/oil-exploration-and-production.html
Online Services,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/online-services.html
other agriculture products,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/other-agriculture-products.html
Other Construction Materials,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/other-construction-materials.html
Others-Industrial Gases & Fuels,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/others-industrial-gases-fuels.html
Others-Manufacturing,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/others-manufacturing.html
Packaging - Films,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/packaging-films.html
Packaging - Packaging Materials,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/packaging-packaging-materials.html
Packaging - Polyfilms,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/packaging-polyfilms.html
Packaging - Sacks and Bags,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/packaging-sacks-and-bags.html
Packaging Materials-Containers & Packaging,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/packaging-materials-containers-packaging.html
Packaging Materials-Plastic Products,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/packaging-materials-plastic-products.html
Paints,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/paints.html
Paper & Forest Products,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/paper-forest-products.html
Paper & Paper Products,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/paper-paper-products.html
Pesticides & Agrochemicals,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/pesticides-agrochemicals.html
Pharmaceuticals & Drugs,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/pharmaceuticals-drugs.html
Photographic Products,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/photographic-products.html
Plastic Products,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/plastic-products.html
Plastic Products - Others,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/plastic-products-others.html
Plastics - Moulded Articles and Furnitures,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/plastics-moulded-articles-and-furnitures.html
"Plastics - Pet Bottels, Jars & Containers",https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/plastics-pet-bottels-jars-containers.html
Plastics - Self Adhesive Tapes,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/plastics-self-adhesive-tapes.html
Plastics - Thermoplastics,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/plastics-thermoplastics.html
Plastics - Tubes/Pipes/Hoses & Fittings,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/plastics-tubespipeshoses-fittings.html
Ports,https://www.moneycontrol.com/stocks/marketstats/industry-classification/bse/ports.html
