datetime,pos,neg,neu
30-01-2024 08:18,"[0.06467234343290329, 0.9157878756523132, 0.06467234343290329, 0.9157878756523132]","[0.919120192527771, 0.0461399108171463, 0.919120192527771, 0.0461399108171463]","[0.016207514330744743, 0.03807223215699196, 0.016207514330744743, 0.03807223215699196]"
30-01-2024 08:30,[0.7649312615394592],[0.11197661608457565],[0.12309210747480392]
30-01-2024 08:34,[0.018256643787026405],[0.9545930624008179],[0.027150269597768784]
30-01-2024 08:37,"[0.808250904083252, 0.808250904083252]","[0.02263052389025688, 0.02263052389025688]","[0.16911858320236206, 0.16911858320236206]"
30-01-2024 08:42,"[0.3098606765270233, 0.9525815844535828, 0.9525815844535828]","[0.10185014456510544, 0.02812468260526657, 0.02812468260526657]","[0.5882891416549683, 0.019293686375021935, 0.019293686375021935]"
30-01-2024 08:54,"[0.45951759815216064, 0.45951759815216064]","[0.00991571694612503, 0.00991571694612503]","[0.5305666327476501, 0.5305666327476501]"
30-01-2024 09:14,"[0.8996819853782654, 0.8996819853782654]","[0.014955082908272743, 0.014955082908272743]","[0.08536290377378464, 0.08536290377378464]"
30-01-2024 09:29,"[0.015856551006436348, 0.015856551006436348, 0.9502907395362854, 0.006728440523147583, 0.9502907395362854]","[0.9650363326072693, 0.9650363326072693, 0.021904461085796356, 0.9743754863739014, 0.021904461085796356]","[0.019107099622488022, 0.019107099622488022, 0.027804743498563766, 0.018895985558629036, 0.027804743498563766]"
30-01-2024 09:42,"[0.007204404566437006, 0.9528194069862366, 0.007204404566437006, 0.9528194069862366]","[0.9751483201980591, 0.01999058574438095, 0.9751483201980591, 0.01999058574438095]","[0.017647316679358482, 0.02718999609351158, 0.017647316679358482, 0.02718999609351158]"
30-01-2024 09:51,"[0.011795767582952976, 0.011492706835269928, 0.44556063413619995, 0.011492706835269928, 0.9091821312904358, 0.011795767582952976, 0.9091821312904358]","[0.9769457578659058, 0.9636368155479431, 0.010092209093272686, 0.9636368155479431, 0.01387943048030138, 0.9769457578659058, 0.01387943048030138]","[0.011258519254624844, 0.024870431050658226, 0.5443471670150757, 0.024870431050658226, 0.0769384503364563, 0.011258519254624844, 0.0769384503364563]"
30-01-2024 09:52,"[0.874402642250061, 0.874402642250061]","[0.015434910543262959, 0.015434910543262959]","[0.11016242206096649, 0.11016242206096649]"
30-01-2024 09:57,"[0.7353814244270325, 0.7353814244270325]","[0.24775758385658264, 0.24775758385658264]","[0.016860995441675186, 0.016860995441675186]"
30-01-2024 09:58,"[0.9537333250045776, 0.9537333250045776]","[0.01774502545595169, 0.01774502545595169]","[0.02852165885269642, 0.02852165885269642]"
30-01-2024 10:00,[0.9521308541297913],[0.01724776066839695],[0.030621372163295746]
30-01-2024 10:01,[0.009802696295082569],[0.9749573469161987],[0.015240015462040901]
30-01-2024 10:03,"[0.9453750848770142, 0.9453750848770142]","[0.026622992008924484, 0.026622992008924484]","[0.028001904487609863, 0.028001904487609863]"
30-01-2024 10:04,"[0.7633355259895325, 0.7633355259895325]","[0.019876984879374504, 0.019876984879374504]","[0.21678751707077026, 0.21678751707077026]"
30-01-2024 10:13,[0.9543734788894653],[0.017383763566613197],[0.02824273332953453]
30-01-2024 10:18,"[0.547760546207428, 0.547760546207428, 0.716040849685669, 0.716040849685669]","[0.020597761496901512, 0.020597761496901512, 0.021248288452625275, 0.021248288452625275]","[0.4316416382789612, 0.4316416382789612, 0.26271092891693115, 0.26271092891693115]"
30-01-2024 10:20,[0.4464457333087921],[0.5287834405899048],[0.0247708261013031]
30-01-2024 10:27,"[0.9364871382713318, 0.9364871382713318]","[0.01996648497879505, 0.01996648497879505]","[0.04354635626077652, 0.04354635626077652]"
30-01-2024 10:33,"[0.022425545379519463, 0.022425545379519463]","[0.9433263540267944, 0.9433263540267944]","[0.034248124808073044, 0.034248124808073044]"
30-01-2024 10:40,[0.031232895329594612],[0.955146849155426],[0.01362016424536705]
30-01-2024 10:42,[0.8879956603050232],[0.09460580348968506],[0.017398592084646225]
30-01-2024 10:50,"[0.945002019405365, 0.945002019405365]","[0.014368858188390732, 0.014368858188390732]","[0.0406290628015995, 0.0406290628015995]"
30-01-2024 10:56,[0.009990939870476723],[0.968020498752594],[0.021988550201058388]
30-01-2024 11:02,"[0.8936294913291931, 0.10532084852457047]","[0.08313614875078201, 0.8368671536445618]","[0.02323443442583084, 0.05781196430325508]"
30-01-2024 11:09,"[0.6963342428207397, 0.6963342428207397]","[0.04842004552483559, 0.04842004552483559]","[0.2552456855773926, 0.2552456855773926]"
30-01-2024 11:17,"[0.05807659029960632, 0.05807659029960632]","[0.014193101786077023, 0.014193101786077023]","[0.9277303218841553, 0.9277303218841553]"
30-01-2024 11:19,"[0.9467765688896179, 0.9518618583679199, 0.029635900631546974, 0.9467765688896179]","[0.020291252061724663, 0.017953120172023773, 0.91837078332901, 0.020291252061724663]","[0.03293218836188316, 0.030185021460056305, 0.05199333280324936, 0.03293218836188316]"
30-01-2024 11:20,[0.022597024217247963],[0.9045838117599487],[0.07281921803951263]
30-01-2024 11:45,"[0.18305975198745728, 0.18305975198745728]","[0.2723069190979004, 0.2723069190979004]","[0.5446332693099976, 0.5446332693099976]"
30-01-2024 12:13,[0.23638218641281128],[0.017854413017630577],[0.7457634210586548]
30-01-2024 12:24,[0.12638381123542786],[0.021975243464112282],[0.8516409397125244]
30-01-2024 12:38,"[0.8706759214401245, 0.01386681105941534, 0.8706759214401245]","[0.10288815945386887, 0.9542301893234253, 0.10288815945386887]","[0.026435932144522667, 0.031902994960546494, 0.026435932144522667]"
30-01-2024 12:54,[0.6323785781860352],[0.010338394902646542],[0.3572830259799957]
30-01-2024 13:14,[0.8945854902267456],[0.01563466154038906],[0.0897798165678978]
30-01-2024 13:30,"[0.44200578331947327, 0.44200578331947327]","[0.011123621836304665, 0.011123621836304665]","[0.5468705296516418, 0.5468705296516418]"
