"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 100","03 Jul 2009","","","","2708.70"
"NIFTY SMALLCAP 100","02 Jul 2009","","","","2687.40"
"NIFTY SMALLCAP 100","01 Jul 2009","","","","2671.90"
"NIFTY SMALLCAP 100","30 Jun 2009","","","","2666.00"
"NIFTY SMALLCAP 100","29 Jun 2009","","","","2731.40"
"NIFTY SMALLCAP 100","26 Jun 2009","","","","2694.80"
"NIFTY SMALLCAP 100","25 Jun 2009","","","","2653.70"
"NIFTY SMALLCAP 100","24 Jun 2009","","","","2653.80"
"NIFTY SMALLCAP 100","23 Jun 2009","","","","2594.50"
"NIFTY SMALLCAP 100","22 Jun 2009","","","","2580.70"
"NIFTY SMALLCAP 100","19 Jun 2009","","","","2607.00"
"NIFTY SMALLCAP 100","18 Jun 2009","","","","2574.10"
"NIFTY SMALLCAP 100","17 Jun 2009","","","","2654.50"
"NIFTY SMALLCAP 100","16 Jun 2009","","","","2767.60"
"NIFTY SMALLCAP 100","15 Jun 2009","","","","2700.00"
"NIFTY SMALLCAP 100","12 Jun 2009","","","","2759.90"
"NIFTY SMALLCAP 100","11 Jun 2009","","","","2837.60"
"NIFTY SMALLCAP 100","10 Jun 2009","","","","2837.80"
"NIFTY SMALLCAP 100","09 Jun 2009","","","","2826.90"
"NIFTY SMALLCAP 100","08 Jun 2009","","","","2765.00"
"NIFTY SMALLCAP 100","05 Jun 2009","","","","2912.50"
"NIFTY SMALLCAP 100","04 Jun 2009","","","","2931.20"
"NIFTY SMALLCAP 100","03 Jun 2009","","","","2869.50"
"NIFTY SMALLCAP 100","02 Jun 2009","","","","2827.20"
"NIFTY SMALLCAP 100","01 Jun 2009","","","","2788.50"
"NIFTY SMALLCAP 100","29 May 2009","","","","2712.00"
"NIFTY SMALLCAP 100","28 May 2009","","","","2638.20"
"NIFTY SMALLCAP 100","27 May 2009","","","","2638.10"
"NIFTY SMALLCAP 100","26 May 2009","","","","2549.10"
"NIFTY SMALLCAP 100","25 May 2009","","","","2630.20"
"NIFTY SMALLCAP 100","22 May 2009","","","","2525.50"
"NIFTY SMALLCAP 100","21 May 2009","","","","2453.80"
"NIFTY SMALLCAP 100","20 May 2009","","","","2416.20"
"NIFTY SMALLCAP 100","19 May 2009","","","","2234.10"
"NIFTY SMALLCAP 100","18 May 2009","","","","2182.60"
"NIFTY SMALLCAP 100","15 May 2009","","","","1997.00"
"NIFTY SMALLCAP 100","14 May 2009","","","","1985.60"
"NIFTY SMALLCAP 100","13 May 2009","","","","1981.80"
"NIFTY SMALLCAP 100","12 May 2009","","","","1994.80"
"NIFTY SMALLCAP 100","11 May 2009","","","","1968.20"
"NIFTY SMALLCAP 100","08 May 2009","","","","1993.40"
"NIFTY SMALLCAP 100","07 May 2009","","","","1995.50"
"NIFTY SMALLCAP 100","06 May 2009","","","","1940.70"
"NIFTY SMALLCAP 100","05 May 2009","","","","1943.30"
"NIFTY SMALLCAP 100","04 May 2009","","","","1893.90"
"NIFTY SMALLCAP 100","29 Apr 2009","","","","1840.70"
"NIFTY SMALLCAP 100","28 Apr 2009","","","","1810.60"
"NIFTY SMALLCAP 100","27 Apr 2009","","","","1877.20"
"NIFTY SMALLCAP 100","24 Apr 2009","","","","1894.10"
"NIFTY SMALLCAP 100","23 Apr 2009","","","","1858.40"
"NIFTY SMALLCAP 100","22 Apr 2009","","","","1847.30"
"NIFTY SMALLCAP 100","21 Apr 2009","","","","1879.30"
"NIFTY SMALLCAP 100","20 Apr 2009","","","","1865.90"
"NIFTY SMALLCAP 100","17 Apr 2009","","","","1833.40"
"NIFTY SMALLCAP 100","16 Apr 2009","","","","1819.40"
"NIFTY SMALLCAP 100","15 Apr 2009","","","","1913.80"
"NIFTY SMALLCAP 100","13 Apr 2009","","","","1843.00"
"NIFTY SMALLCAP 100","09 Apr 2009","","","","1797.50"
"NIFTY SMALLCAP 100","08 Apr 2009","","","","1762.60"
"NIFTY SMALLCAP 100","06 Apr 2009","","","","1697.30"
"NIFTY SMALLCAP 100","02 Apr 2009","","","","1651.70"
"NIFTY SMALLCAP 100","01 Apr 2009","","","","1608.90"
"NIFTY SMALLCAP 100","31 Mar 2009","","","","1577.60"
"NIFTY SMALLCAP 100","30 Mar 2009","","","","1550.80"
"NIFTY SMALLCAP 100","27 Mar 2009","","","","1558.90"
"NIFTY SMALLCAP 100","26 Mar 2009","","","","1528.30"
"NIFTY SMALLCAP 100","25 Mar 2009","","","","1513.60"
"NIFTY SMALLCAP 100","24 Mar 2009","","","","1501.30"
